State,District,Year,Loan Category,Loans Sanctioned,Amt Sanctioned Lakh,Loans Disbursed,Amt Disbursed Lakh,Npa Count,Npa Amount Lakh
Andhra Pradesh,Anantapur,2021-22,Small Manufacturing,53,2031.4,52,2026.8,0,0.0
Andhra Pradesh,Anantapur,2021-22,Small Services,100,2288.4,92,1937.9,1,23.1
Andhra Pradesh,Anantapur,2021-22,Medium Manufacturing,32,3279.6,29,3002.8,0,0.0
Andhra Pradesh,Anantapur,2021-22,Medium Services,49,4512.1,48,3863.8,0,0.0
Andhra Pradesh,Anantapur,2022-23,Micro Manufacturing,75,425.6,61,351.4,1,4.2
Andhra Pradesh,Anantapur,2022-23,Micro Services,100,476.0,90,405.0,0,0.0
Andhra Pradesh,Anantapur,2022-23,Micro Trade,87,507.7,83,497.6,1,6.5
Andhra Pradesh,Anantapur,2022-23,Small Manufacturing,98,2624.6,89,2289.6,0,0.0
Andhra Pradesh,Anantapur,2022-23,Small Services,96,2052.5,92,2042.7,0,0.0
Andhra Pradesh,Anantapur,2022-23,Medium Manufacturing,30,3267.0,25,2678.5,0,0.0
Andhra Pradesh,Anantapur,2022-23,Medium Services,46,3556.0,41,3017.0,0,0.0
Andhra Pradesh,Anantapur,2023-24,Micro Manufacturing,123,808.6,97,644.8,0,0.0
Andhra Pradesh,Anantapur,2023-24,Micro Services,155,568.7,135,509.9,0,0.0
Andhra Pradesh,Anantapur,2023-24,Micro Trade,83,424.1,72,384.9,0,0.0
Andhra Pradesh,Anantapur,2023-24,Small Manufacturing,78,2274.4,67,1934.5,0,0.0
Andhra Pradesh,Anantapur,2023-24,Small Services,114,2139.8,102,2059.5,0,0.0
Andhra Pradesh,Anantapur,2023-24,Medium Manufacturing,76,9488.8,68,9132.5,0,0.0
Andhra Pradesh,Anantapur,2023-24,Medium Services,91,11612.3,81,9347.1,0,0.0
Andhra Pradesh,Anantapur,2024-25,Micro Manufacturing,77,562.3,63,433.1,0,0.0
Andhra Pradesh,Anantapur,2024-25,Micro Services,91,492.2,83,419.1,0,0.0
Andhra Pradesh,Anantapur,2024-25,Micro Trade,58,279.6,54,263.3,0,0.0
Andhra Pradesh,Anantapur,2024-25,Small Manufacturing,95,2393.2,85,2153.5,0,0.0
Andhra Pradesh,Anantapur,2024-25,Small Services,95,2008.3,85,1871.7,0,0.0
Andhra Pradesh,Anantapur,2024-25,Medium Manufacturing,35,2712.9,30,2439.3,0,0.0
Andhra Pradesh,Anantapur,2024-25,Medium Services,126,13839.0,113,13276.0,0,0.0
Andhra Pradesh,Chittoor,2015-16,Micro Manufacturing,17,96.7,16,99.1,0,0.0
Andhra Pradesh,Chittoor,2015-16,Micro Services,16,85.9,14,70.0,0,0.0
Andhra Pradesh,Chittoor,2015-16,Micro Trade,20,76.7,17,68.0,0,0.0
Andhra Pradesh,Chittoor,2015-16,Small Manufacturing,32,1092.3,28,895.7,0,0.0
Andhra Pradesh,Chittoor,2015-16,Small Services,46,1071.9,41,974.5,0,0.0
Andhra Pradesh,Chittoor,2015-16,Medium Manufacturing,27,3042.2,26,2781.6,0,0.0
Andhra Pradesh,Chittoor,2015-16,Medium Services,31,2462.2,25,1821.4,0,0.0
Andhra Pradesh,Chittoor,2016-17,Micro Manufacturing,24,192.6,23,175.3,0,0.0
Andhra Pradesh,Chittoor,2016-17,Micro Services,24,123.4,22,112.9,0,0.0
Andhra Pradesh,Chittoor,2016-17,Micro Trade,28,186.0,26,182.1,0,0.0
Andhra Pradesh,Chittoor,2016-17,Small Manufacturing,27,736.9,23,648.3,0,0.0
Andhra Pradesh,Chittoor,2016-17,Small Services,48,1115.7,43,1010.8,0,0.0
Andhra Pradesh,Chittoor,2016-17,Medium Manufacturing,11,1150.6,9,854.7,0,0.0
Andhra Pradesh,Chittoor,2016-17,Medium Services,20,1436.8,15,1051.2,0,0.0
Andhra Pradesh,Chittoor,2017-18,Micro Manufacturing,22,141.5,18,114.6,0,0.0
Andhra Pradesh,Chittoor,2017-18,Micro Services,44,231.7,41,209.0,0,0.0
Andhra Pradesh,Chittoor,2017-18,Micro Trade,18,70.9,17,67.9,0,0.0
Andhra Pradesh,Chittoor,2017-18,Small Manufacturing,61,1742.0,56,1719.7,0,0.0
Andhra Pradesh,Chittoor,2017-18,Small Services,24,565.1,20,479.4,0,0.0
Andhra Pradesh,Chittoor,2017-18,Medium Manufacturing,9,879.8,7,688.6,0,0.0
Andhra Pradesh,Chittoor,2017-18,Medium Services,26,2284.8,24,1977.3,0,0.0
Andhra Pradesh,Chittoor,2018-19,Micro Manufacturing,38,247.9,35,251.1,0,0.0
Andhra Pradesh,Chittoor,2018-19,Micro Services,22,94.2,18,75.5,0,0.0
Andhra Pradesh,Chittoor,2018-19,Micro Trade,32,128.4,30,125.9,0,0.0
Andhra Pradesh,Chittoor,2018-19,Small Manufacturing,41,1180.8,34,973.9,0,0.0
Andhra Pradesh,Chittoor,2018-19,Small Services,35,619.0,34,637.0,0,0.0
Andhra Pradesh,Chittoor,2018-19,Medium Manufacturing,9,832.3,8,698.4,0,0.0
Andhra Pradesh,Chittoor,2018-19,Medium Services,17,1349.4,16,1333.6,0,0.0
Andhra Pradesh,Chittoor,2019-20,Micro Manufacturing,83,388.7,69,318.1,0,0.0
Andhra Pradesh,Chittoor,2019-20,Micro Services,38,145.6,35,131.0,0,0.0
Andhra Pradesh,Chittoor,2019-20,Micro Trade,24,117.1,23,112.3,0,0.0
Andhra Pradesh,Chittoor,2019-20,Small Manufacturing,20,580.1,17,491.6,0,0.0
Andhra Pradesh,Chittoor,2019-20,Small Services,48,1095.0,42,1023.5,0,0.0
Andhra Pradesh,Chittoor,2019-20,Medium Manufacturing,38,3809.0,35,3425.2,0,0.0
Andhra Pradesh,Chittoor,2019-20,Medium Services,20,1253.4,20,1396.1,0,0.0
Andhra Pradesh,Chittoor,2020-21,Micro Manufacturing,22,126.5,17,90.6,1,5.9
Andhra Pradesh,Chittoor,2020-21,Micro Services,12,66.6,10,57.2,0,0.0
Andhra Pradesh,Chittoor,2020-21,Micro Trade,35,121.5,27,92.0,1,3.3
Andhra Pradesh,Chittoor,2020-21,Small Manufacturing,59,1399.9,47,1123.7,0,0.0
Andhra Pradesh,Chittoor,2020-21,Small Services,47,985.0,33,682.1,0,0.0
Andhra Pradesh,Chittoor,2020-21,Medium Manufacturing,24,2044.0,17,1458.0,0,0.0
Andhra Pradesh,Chittoor,2020-21,Medium Services,38,3562.6,28,2450.5,0,0.0
Andhra Pradesh,Chittoor,2021-22,Micro Manufacturing,111,709.3,102,646.7,1,7.2
Andhra Pradesh,Chittoor,2021-22,Micro Services,63,291.3,55,249.8,0,0.0
Andhra Pradesh,Chittoor,2021-22,Micro Trade,27,114.0,25,103.1,0,0.0
Andhra Pradesh,Chittoor,2021-22,Small Manufacturing,22,547.8,17,409.3,0,0.0
Andhra Pradesh,Chittoor,2021-22,Small Services,59,1251.2,50,1058.6,0,0.0
Andhra Pradesh,Chittoor,2021-22,Medium Manufacturing,21,2511.9,19,2306.4,0,0.0
Andhra Pradesh,Chittoor,2021-22,Medium Services,20,1796.7,18,1503.8,0,0.0
Andhra Pradesh,Chittoor,2022-23,Micro Manufacturing,33,169.9,30,160.9,0,0.0
Andhra Pradesh,Chittoor,2022-23,Micro Services,25,155.6,23,147.8,0,0.0
Andhra Pradesh,Chittoor,2022-23,Micro Trade,50,227.0,46,208.6,0,0.0
Andhra Pradesh,Chittoor,2022-23,Small Manufacturing,59,1864.6,48,1364.8,0,0.0
Andhra Pradesh,Chittoor,2022-23,Small Services,24,399.5,22,378.8,0,0.0
Andhra Pradesh,Chittoor,2022-23,Medium Manufacturing,33,3174.9,30,2816.8,0,0.0
Andhra Pradesh,Chittoor,2022-23,Medium Services,97,10351.9,83,9226.2,0,0.0
Andhra Pradesh,Chittoor,2023-24,Micro Manufacturing,79,521.4,74,504.4,0,0.0
Andhra Pradesh,Chittoor,2023-24,Micro Services,44,202.4,37,184.1,0,0.0
Andhra Pradesh,Chittoor,2023-24,Micro Trade,48,264.5,43,240.6,0,0.0
Andhra Pradesh,Chittoor,2023-24,Small Manufacturing,43,990.3,39,885.2,0,0.0
Andhra Pradesh,Chittoor,2023-24,Small Services,42,959.1,38,856.6,0,0.0
Andhra Pradesh,Chittoor,2023-24,Medium Manufacturing,29,2644.5,27,2496.0,0,0.0
Andhra Pradesh,Chittoor,2023-24,Medium Services,69,7279.4,66,6938.3,0,0.0
Andhra Pradesh,Chittoor,2024-25,Micro Manufacturing,53,336.6,51,343.0,0,0.0
Andhra Pradesh,Chittoor,2024-25,Micro Services,38,196.3,34,169.7,0,0.0
Andhra Pradesh,Chittoor,2024-25,Micro Trade,33,155.6,29,138.6,0,0.0
Andhra Pradesh,Chittoor,2024-25,Small Manufacturing,35,1215.9,29,920.9,0,0.0
Andhra Pradesh,Chittoor,2024-25,Small Services,45,972.7,43,817.6,0,0.0
Andhra Pradesh,Chittoor,2024-25,Medium Manufacturing,25,2597.7,22,2142.2,0,0.0
Andhra Pradesh,Chittoor,2024-25,Medium Services,112,9584.6,111,9505.6,0,0.0
Andhra Pradesh,East Godavari,2015-16,Micro Manufacturing,193,1315.7,167,1194.1,5,32.4
Andhra Pradesh,East Godavari,2015-16,Micro Services,62,311.4,57,284.8,2,10.9
Andhra Pradesh,East Godavari,2015-16,Micro Trade,15,74.6,13,59.1,0,0.0
Andhra Pradesh,East Godavari,2015-16,Small Manufacturing,28,888.1,23,724.8,1,31.2
Andhra Pradesh,East Godavari,2015-16,Small Services,45,851.1,42,799.3,0,0.0
Andhra Pradesh,East Godavari,2015-16,Medium Manufacturing,39,4150.1,35,3708.4,1,128.1
Andhra Pradesh,East Godavari,2015-16,Medium Services,23,1736.3,19,1489.1,1,71.9
Andhra Pradesh,East Godavari,2016-17,Micro Manufacturing,12,55.8,10,46.6,0,0.0
Andhra Pradesh,East Godavari,2016-17,Micro Services,36,210.7,31,174.8,1,4.1
Andhra Pradesh,East Godavari,2016-17,Micro Trade,51,233.1,46,225.3,1,7.4
Andhra Pradesh,East Godavari,2016-17,Small Manufacturing,37,855.4,33,732.4,1,24.0
Andhra Pradesh,East Godavari,2016-17,Small Services,55,1102.2,52,1108.7,2,47.4
Andhra Pradesh,East Godavari,2016-17,Medium Manufacturing,82,6802.7,72,5759.1,2,142.7
Andhra Pradesh,East Godavari,2016-17,Medium Services,38,4535.6,34,4128.1,1,123.3
Andhra Pradesh,East Godavari,2017-18,Micro Manufacturing,44,282.4,42,293.8,2,15.7
Andhra Pradesh,East Godavari,2017-18,Micro Services,25,123.4,24,122.0,1,6.1
Andhra Pradesh,East Godavari,2017-18,Micro Trade,56,301.7,51,271.0,2,5.9
Andhra Pradesh,East Godavari,2017-18,Small Manufacturing,54,874.7,44,728.1,1,13.1
Andhra Pradesh,East Godavari,2017-18,Small Services,31,837.7,27,820.7,1,33.0
Andhra Pradesh,East Godavari,2017-18,Medium Manufacturing,99,11106.1,84,9387.2,2,170.1
Andhra Pradesh,East Godavari,2017-18,Medium Services,39,3140.2,37,2976.5,1,78.8
Andhra Pradesh,East Godavari,2018-19,Micro Manufacturing,52,342.2,44,276.1,2,11.6
Andhra Pradesh,East Godavari,2018-19,Micro Services,23,122.9,21,105.1,1,5.8
Andhra Pradesh,East Godavari,2018-19,Micro Trade,56,277.1,46,233.8,1,4.6
Andhra Pradesh,East Godavari,2018-19,Small Manufacturing,72,2516.8,71,2660.2,2,80.4
Andhra Pradesh,East Godavari,2018-19,Small Services,69,1545.8,63,1460.2,2,40.1
Andhra Pradesh,East Godavari,2018-19,Medium Manufacturing,38,4597.0,34,4209.0,1,114.9
Andhra Pradesh,East Godavari,2018-19,Medium Services,68,6477.8,57,5836.1,1,73.5
Andhra Pradesh,East Godavari,2019-20,Micro Manufacturing,29,149.3,26,132.9,1,5.8
Andhra Pradesh,East Godavari,2019-20,Micro Services,59,309.3,54,293.6,0,0.0
Andhra Pradesh,East Godavari,2019-20,Micro Trade,17,76.9,15,72.9,1,5.1
Andhra Pradesh,East Godavari,2019-20,Small Manufacturing,39,1174.4,34,1025.9,1,27.0
Andhra Pradesh,East Godavari,2019-20,Small Services,74,1802.1,63,1612.5,2,52.2
Andhra Pradesh,East Godavari,2019-20,Medium Manufacturing,34,3287.8,30,2949.6,1,107.3
Andhra Pradesh,East Godavari,2019-20,Medium Services,27,2356.7,24,2411.5,0,0.0
Andhra Pradesh,East Godavari,2020-21,Micro Manufacturing,41,261.6,32,206.0,2,17.2
Andhra Pradesh,East Godavari,2020-21,Micro Services,30,177.8,22,130.8,1,6.5
Andhra Pradesh,East Godavari,2020-21,Micro Trade,78,347.0,59,248.3,4,12.2
Andhra Pradesh,East Godavari,2020-21,Small Manufacturing,24,695.3,20,657.0,1,43.8
Andhra Pradesh,East Godavari,2020-21,Small Services,43,924.8,34,726.7,2,39.4
Andhra Pradesh,East Godavari,2020-21,Medium Manufacturing,19,1658.0,15,1296.3,1,86.6
Andhra Pradesh,East Godavari,2020-21,Medium Services,56,5178.2,41,4058.3,3,327.8
Andhra Pradesh,East Godavari,2021-22,Micro Manufacturing,82,592.7,78,584.6,5,41.6
Andhra Pradesh,East Godavari,2021-22,Micro Services,29,161.1,24,128.8,2,12.7
Andhra Pradesh,East Godavari,2021-22,Micro Trade,106,458.0,89,381.2,5,21.8
Andhra Pradesh,East Godavari,2021-22,Small Manufacturing,89,2360.6,82,2061.6,4,100.6
Andhra Pradesh,East Godavari,2021-22,Small Services,35,743.2,31,653.2,2,41.3
Andhra Pradesh,East Godavari,2021-22,Medium Manufacturing,44,3533.5,38,2982.7,1,103.5
Andhra Pradesh,East Godavari,2021-22,Medium Services,46,5022.7,42,4544.4,2,216.6
Andhra Pradesh,East Godavari,2022-23,Micro Manufacturing,140,593.2,112,461.8,4,18.9
Andhra Pradesh,East Godavari,2022-23,Micro Services,75,354.0,71,354.4,3,18.2
Andhra Pradesh,East Godavari,2022-23,Micro Trade,68,281.3,64,264.4,2,11.1
Andhra Pradesh,East Godavari,2022-23,Small Manufacturing,17,384.8,14,317.7,0,0.0
Andhra Pradesh,East Godavari,2022-23,Small Services,36,696.1,36,754.1,1,19.5
Andhra Pradesh,East Godavari,2022-23,Medium Manufacturing,33,2726.5,30,2319.3,1,56.1
Andhra Pradesh,East Godavari,2022-23,Medium Services,40,3681.2,37,3451.8,1,110.7
Andhra Pradesh,East Godavari,2023-24,Micro Manufacturing,42,277.1,38,232.7,1,6.6
Andhra Pradesh,East Godavari,2023-24,Micro Services,85,416.1,83,427.4,2,12.0
Andhra Pradesh,East Godavari,2023-24,Micro Trade,165,996.3,138,797.7,7,32.7
Andhra Pradesh,East Godavari,2023-24,Small Manufacturing,32,833.0,29,763.3,1,23.0
Andhra Pradesh,East Godavari,2023-24,Small Services,44,848.4,44,852.5,2,35.1
Andhra Pradesh,East Godavari,2023-24,Medium Manufacturing,57,5633.6,44,4035.5,1,58.5
Andhra Pradesh,East Godavari,2023-24,Medium Services,34,3732.8,31,3574.6,1,134.8
Andhra Pradesh,East Godavari,2024-25,Micro Manufacturing,42,272.6,39,248.0,2,14.2
Andhra Pradesh,East Godavari,2024-25,Micro Services,50,211.3,42,178.4,2,7.2
Andhra Pradesh,East Godavari,2024-25,Micro Trade,67,328.4,62,330.4,3,13.1
Andhra Pradesh,East Godavari,2024-25,Small Manufacturing,154,3981.9,147,3804.7,4,72.1
Andhra Pradesh,East Godavari,2024-25,Small Services,61,1062.1,58,1086.6,1,19.9
Andhra Pradesh,East Godavari,2024-25,Medium Manufacturing,46,4604.8,43,4314.3,1,91.1
Andhra Pradesh,East Godavari,2024-25,Medium Services,110,10045.7,103,9232.1,2,175.2
Andhra Pradesh,Guntur,2015-16,Micro Manufacturing,96,629.6,94,661.2,3,22.7
Andhra Pradesh,Guntur,2015-16,Micro Services,51,255.9,44,241.4,2,10.5
Andhra Pradesh,Guntur,2015-16,Micro Trade,126,409.4,101,340.5,3,10.6
Andhra Pradesh,Guntur,2015-16,Small Manufacturing,36,1004.5,36,1036.3,1,26.4
Andhra Pradesh,Guntur,2015-16,Small Services,57,911.2,52,867.7,1,14.6
Andhra Pradesh,Guntur,2015-16,Medium Manufacturing,39,3711.7,35,3018.9,1,100.3
Andhra Pradesh,Guntur,2015-16,Medium Services,61,3784.2,52,3421.8,0,0.0
Andhra Pradesh,Guntur,2016-17,Micro Manufacturing,41,277.6,36,245.4,2,19.7
Andhra Pradesh,Guntur,2016-17,Micro Services,66,349.1,54,305.9,1,5.1
Andhra Pradesh,Guntur,2016-17,Micro Trade,73,259.8,67,248.5,2,5.4
Andhra Pradesh,Guntur,2016-17,Small Manufacturing,69,2159.5,56,1649.7,2,62.2
Andhra Pradesh,Guntur,2016-17,Small Services,90,2617.0,83,2497.4,4,115.3
Andhra Pradesh,Guntur,2016-17,Medium Manufacturing,49,5747.2,45,5160.9,1,182.0
Andhra Pradesh,Guntur,2016-17,Medium Services,87,7015.5,82,6599.1,2,180.1
Andhra Pradesh,Guntur,2017-18,Micro Manufacturing,41,259.4,41,262.9,1,5.8
Andhra Pradesh,Guntur,2017-18,Micro Services,64,308.0,56,284.1,1,6.0
Andhra Pradesh,Guntur,2017-18,Micro Trade,65,309.5,55,279.0,3,18.4
Andhra Pradesh,Guntur,2017-18,Small Manufacturing,37,1173.2,34,996.4,1,31.5
Andhra Pradesh,Guntur,2017-18,Small Services,103,2327.1,94,2291.0,4,54.9
Andhra Pradesh,Guntur,2017-18,Medium Manufacturing,67,7190.2,54,5868.9,2,174.9
Andhra Pradesh,Guntur,2017-18,Medium Services,92,7217.2,80,6732.4,2,184.6
Andhra Pradesh,Guntur,2018-19,Micro Manufacturing,32,253.9,30,234.0,1,5.9
Andhra Pradesh,Guntur,2018-19,Micro Services,149,709.7,133,616.2,4,21.3
Andhra Pradesh,Guntur,2018-19,Micro Trade,94,466.4,85,430.5,2,15.8
Andhra Pradesh,Guntur,2018-19,Small Manufacturing,38,1285.5,37,1192.9,2,78.7
Andhra Pradesh,Guntur,2018-19,Small Services,134,2960.4,119,2604.8,4,115.9
Andhra Pradesh,Guntur,2018-19,Medium Manufacturing,91,8730.9,86,8605.0,2,232.3
Andhra Pradesh,Guntur,2018-19,Medium Services,72,5637.1,62,4449.5,2,141.2
Andhra Pradesh,Guntur,2019-20,Micro Manufacturing,70,269.6,59,238.8,2,8.7
Andhra Pradesh,Guntur,2019-20,Micro Services,44,273.0,39,247.3,2,17.2
Andhra Pradesh,Guntur,2019-20,Micro Trade,75,308.8,66,279.9,2,7.8
Andhra Pradesh,Guntur,2019-20,Small Manufacturing,183,5037.0,181,5009.3,8,237.8
Andhra Pradesh,Guntur,2019-20,Small Services,142,2802.2,122,2458.2,4,81.2
Andhra Pradesh,Guntur,2019-20,Medium Manufacturing,46,4126.1,38,3129.9,1,103.1
Andhra Pradesh,Guntur,2019-20,Medium Services,87,5578.4,77,4927.1,3,143.4
Andhra Pradesh,Guntur,2020-21,Micro Manufacturing,55,426.2,43,343.7,3,25.6
Andhra Pradesh,Guntur,2020-21,Micro Services,99,438.4,79,328.4,7,30.2
Andhra Pradesh,Guntur,2020-21,Micro Trade,49,219.8,36,153.9,3,10.3
Andhra Pradesh,Guntur,2020-21,Small Manufacturing,79,1861.5,63,1395.5,4,78.2
Andhra Pradesh,Guntur,2020-21,Small Services,130,3005.3,98,2329.4,5,117.8
Andhra Pradesh,Guntur,2020-21,Medium Manufacturing,182,20421.4,140,16117.0,10,772.1
Andhra Pradesh,Guntur,2020-21,Medium Services,29,2693.6,21,2112.9,1,68.3
Andhra Pradesh,Guntur,2021-22,Micro Manufacturing,47,186.7,42,164.3,2,9.7
Andhra Pradesh,Guntur,2021-22,Micro Services,161,784.7,128,642.0,8,42.7
Andhra Pradesh,Guntur,2021-22,Micro Trade,145,547.9,144,517.0,9,23.1
Andhra Pradesh,Guntur,2021-22,Small Manufacturing,56,1968.5,50,1820.9,3,107.0
Andhra Pradesh,Guntur,2021-22,Small Services,175,3715.7,142,2894.7,7,154.4
Andhra Pradesh,Guntur,2021-22,Medium Manufacturing,40,3947.0,35,3375.3,1,85.0
Andhra Pradesh,Guntur,2021-22,Medium Services,62,6264.6,58,5848.8,2,207.4
Andhra Pradesh,Guntur,2022-23,Micro Manufacturing,69,348.6,59,288.1,1,5.0
Andhra Pradesh,Guntur,2022-23,Micro Services,150,591.1,135,526.9,5,19.5
Andhra Pradesh,Guntur,2022-23,Micro Trade,50,186.2,45,176.7,0,0.0
Andhra Pradesh,Guntur,2022-23,Small Manufacturing,189,5171.9,175,4631.3,5,95.7
Andhra Pradesh,Guntur,2022-23,Small Services,32,810.9,27,674.3,0,0.0
Andhra Pradesh,Guntur,2022-23,Medium Manufacturing,96,9465.3,88,8896.7,2,212.1
Andhra Pradesh,Guntur,2022-23,Medium Services,230,17636.9,206,16746.9,6,367.1
Andhra Pradesh,Guntur,2023-24,Micro Manufacturing,95,698.8,88,653.0,3,20.6
Andhra Pradesh,Guntur,2023-24,Micro Services,128,616.2,115,555.4,3,16.1
Andhra Pradesh,Guntur,2023-24,Micro Trade,475,1637.4,435,1444.2,17,57.0
Andhra Pradesh,Guntur,2023-24,Small Manufacturing,162,5410.7,147,5208.3,1,48.7
Andhra Pradesh,Guntur,2023-24,Small Services,133,3439.5,112,2768.3,3,73.9
Andhra Pradesh,Guntur,2023-24,Medium Manufacturing,127,16437.9,103,14009.1,2,261.2
Andhra Pradesh,Guntur,2023-24,Medium Services,53,5143.9,41,4140.7,1,102.1
Andhra Pradesh,Guntur,2024-25,Micro Manufacturing,110,786.6,98,677.0,3,26.7
Andhra Pradesh,Guntur,2024-25,Micro Services,153,722.0,136,592.9,5,15.3
Andhra Pradesh,Guntur,2024-25,Micro Trade,171,784.5,169,735.1,5,31.2
Andhra Pradesh,Guntur,2024-25,Small Manufacturing,213,5372.6,194,4896.0,6,131.7
Andhra Pradesh,Guntur,2024-25,Small Services,112,1938.8,102,1798.0,3,38.3
Andhra Pradesh,Guntur,2024-25,Medium Manufacturing,192,22307.0,166,18998.1,2,186.5
Andhra Pradesh,Guntur,2024-25,Medium Services,90,9738.9,78,8728.6,2,235.2
Andhra Pradesh,Krishna,2015-16,Micro Manufacturing,26,123.2,22,99.7,1,4.9
Andhra Pradesh,Krishna,2015-16,Micro Services,27,192.8,22,158.4,1,6.5
Andhra Pradesh,Krishna,2015-16,Micro Trade,36,114.3,33,114.6,1,3.7
Andhra Pradesh,Krishna,2015-16,Small Manufacturing,57,1557.2,50,1210.4,2,47.3
Andhra Pradesh,Krishna,2015-16,Small Services,20,448.4,17,380.3,1,17.1
Andhra Pradesh,Krishna,2015-16,Medium Manufacturing,57,5084.1,49,4852.0,2,201.9
Andhra Pradesh,Krishna,2015-16,Medium Services,21,1745.8,19,1580.6,1,82.7
Andhra Pradesh,Krishna,2016-17,Micro Manufacturing,32,154.7,28,141.6,1,4.9
Andhra Pradesh,Krishna,2016-17,Micro Services,24,122.0,21,115.7,1,4.2
Andhra Pradesh,Krishna,2016-17,Micro Trade,50,200.3,44,177.3,2,9.6
Andhra Pradesh,Krishna,2016-17,Small Manufacturing,24,612.4,21,516.3,1,27.9
Andhra Pradesh,Krishna,2016-17,Small Services,84,2596.7,71,2211.0,2,53.3
Andhra Pradesh,Krishna,2016-17,Medium Manufacturing,26,2440.6,22,2053.3,1,110.5
